sales_date,metric_name,amount
2024-01-28,Gross sales,2833.35
2024-01-28,Refunds,0.00
2024-01-28,Net sales,2833.35
2024-01-28,Overpayments,0.00
2024-01-28,Taxes expected,258.51
2024-01-28,Taxes collected,258.51
2024-01-28,Tips,60.97
2024-01-28,Amount collected,3152.83
2024-01-28,Unpaid balance,0.00
2024-01-29,Gross sales,1712.48
2024-01-29,Refunds,0.00
2024-01-29,Net sales,1712.48
2024-01-29,Overpayments,0.00
2024-01-29,Taxes expected,156.17
2024-01-29,Taxes collected,156.17
2024-01-29,Tips,35.09
2024-01-29,Amount collected,1903.74
2024-01-29,Unpaid balance,0.00
2024-01-30,Gross sales,1668.50
2024-01-30,Refunds,0.00
2024-01-30,Net sales,1668.50
2024-01-30,Overpayments,0.00
2024-01-30,Taxes expected,152.44
2024-01-30,Taxes collected,152.44
2024-01-30,Tips,29.87
2024-01-30,Amount collected,1850.81
2024-01-30,Unpaid balance,0.00
2024-01-31,Gross sales,2274.40
2024-01-31,Refunds,0.00
2024-01-31,Net sales,2274.40
2024-01-31,Overpayments,0.00
2024-01-31,Taxes expected,210.79
2024-01-31,Taxes collected,210.79
2024-01-31,Tips,56.82
2024-01-31,Amount collected,2542.01
2024-01-31,Unpaid balance,0.00
2024-02-01,Gross sales,2073.39
2024-02-01,Refunds,0.00
2024-02-01,Net sales,2073.39
2024-02-01,Overpayments,0.00
2024-02-01,Taxes expected,189.61
2024-02-01,Taxes collected,189.61
2024-02-01,Tips,52.14
2024-02-01,Amount collected,2315.14
2024-02-01,Unpaid balance,0.00
2024-02-02,Gross sales,2574.09
2024-02-02,Refunds,0.00
2024-02-02,Net sales,2574.09
2024-02-02,Overpayments,0.00
2024-02-02,Taxes expected,234.14
2024-02-02,Taxes collected,234.14
2024-02-02,Tips,51.76
2024-02-02,Amount collected,2859.99
2024-02-02,Unpaid balance,0.00
2024-02-03,Gross sales,3020.37
2024-02-03,Refunds,0.00
2024-02-03,Net sales,3020.37
2024-02-03,Overpayments,0.00
2024-02-03,Taxes expected,279.72
2024-02-03,Taxes collected,279.23
2024-02-03,Tips,34.68
2024-02-03,Amount collected,3334.28
2024-02-03,Unpaid balance,0.00
2024-02-04,Gross sales,2550.34
2024-02-04,Refunds,0.00
2024-02-04,Net sales,2550.34
2024-02-04,Overpayments,0.00
2024-02-04,Taxes expected,233.61
2024-02-04,Taxes collected,233.61
2024-02-04,Tips,35.70
2024-02-04,Amount collected,2819.65
2024-02-04,Unpaid balance,0.00
2024-02-05,Gross sales,1582.13
2024-02-05,Refunds,0.00
2024-02-05,Net sales,1582.13
2024-02-05,Overpayments,0.00
2024-02-05,Taxes expected,144.13
2024-02-05,Taxes collected,144.13
2024-02-05,Tips,24.35
2024-02-05,Amount collected,1750.61
2024-02-05,Unpaid balance,0.00
2024-02-06,Gross sales,1996.71
2024-02-06,Refunds,0.00
2024-02-06,Net sales,1996.71
2024-02-06,Overpayments,0.00
2024-02-06,Taxes expected,181.65
2024-02-06,Taxes collected,181.65
2024-02-06,Tips,36.74
2024-02-06,Amount collected,2215.10
2024-02-06,Unpaid balance,0.00
2024-02-07,Gross sales,2147.51
2024-02-07,Refunds,0.00
2024-02-07,Net sales,2147.51
2024-02-07,Overpayments,0.00
2024-02-07,Taxes expected,197.88
2024-02-07,Taxes collected,197.88
2024-02-07,Tips,24.32
2024-02-07,Amount collected,2369.71
2024-02-07,Unpaid balance,0.00
2024-02-08,Gross sales,2510.28
2024-02-08,Refunds,0.00
2024-02-08,Net sales,2510.28
2024-02-08,Overpayments,0.00
2024-02-08,Taxes expected,231.06
2024-02-08,Taxes collected,231.06
2024-02-08,Tips,54.51
2024-02-08,Amount collected,2795.85
2024-02-08,Unpaid balance,0.00
2024-02-09,Gross sales,2505.06
2024-02-09,Refunds,0.00
2024-02-09,Net sales,2505.06
2024-02-09,Overpayments,0.00
2024-02-09,Taxes expected,232.23
2024-02-09,Taxes collected,232.23
2024-02-09,Tips,65.42
2024-02-09,Amount collected,2802.71
2024-02-09,Unpaid balance,0.00
2024-02-10,Gross sales,3076.93
2024-02-10,Refunds,0.00
2024-02-10,Net sales,3076.93
2024-02-10,Overpayments,0.00
2024-02-10,Taxes expected,280.85
2024-02-10,Taxes collected,280.85
2024-02-10,Tips,30.25
2024-02-10,Amount collected,3388.03
2024-02-10,Unpaid balance,0.00
2024-02-11,Gross sales,2653.20
2024-02-11,Refunds,0.00
2024-02-11,Net sales,2653.20
2024-02-11,Overpayments,0.00
2024-02-11,Taxes expected,243.77
2024-02-11,Taxes collected,243.77
2024-02-11,Tips,31.58
2024-02-11,Amount collected,2928.55
2024-02-11,Unpaid balance,0.00
2024-02-12,Gross sales,1982.64
2024-02-12,Refunds,0.00
2024-02-12,Net sales,1982.64
2024-02-12,Overpayments,0.00
2024-02-12,Taxes expected,181.97
2024-02-12,Taxes collected,181.97
2024-02-12,Tips,20.64
2024-02-12,Amount collected,2185.25
2024-02-12,Unpaid balance,0.00
2024-02-13,Gross sales,1901.82
2024-02-13,Refunds,0.00
2024-02-13,Net sales,1901.82
2024-02-13,Overpayments,0.00
2024-02-13,Taxes expected,171.88
2024-02-13,Taxes collected,171.88
2024-02-13,Tips,35.02
2024-02-13,Amount collected,2108.72
2024-02-13,Unpaid balance,0.00
2024-02-14,Gross sales,2122.19
2024-02-14,Refunds,0.00
2024-02-14,Net sales,2122.19
2024-02-14,Overpayments,0.00
2024-02-14,Taxes expected,195.91
2024-02-14,Taxes collected,195.91
2024-02-14,Tips,26.29
2024-02-14,Amount collected,2344.39
2024-02-14,Unpaid balance,0.00
2024-02-15,Gross sales,2199.08
2024-02-15,Refunds,0.00
2024-02-15,Net sales,2199.08
2024-02-15,Overpayments,0.00
2024-02-15,Taxes expected,203.61
2024-02-15,Taxes collected,203.61
2024-02-15,Tips,41.03
2024-02-15,Amount collected,2443.72
2024-02-15,Unpaid balance,0.00
2024-02-16,Gross sales,2905.58
2024-02-16,Refunds,0.00
2024-02-16,Net sales,2905.58
2024-02-16,Overpayments,0.00
2024-02-16,Taxes expected,264.95
2024-02-16,Taxes collected,264.95
2024-02-16,Tips,29.83
2024-02-16,Amount collected,3200.36
2024-02-16,Unpaid balance,0.00
2024-02-17,Gross sales,3057.22
2024-02-17,Refunds,0.00
2024-02-17,Net sales,3057.22
2024-02-17,Overpayments,0.00
2024-02-17,Taxes expected,279.17
2024-02-17,Taxes collected,279.17
2024-02-17,Tips,49.82
2024-02-17,Amount collected,3386.21
2024-02-17,Unpaid balance,0.00
2024-02-18,Gross sales,2656.64
2024-02-18,Refunds,0.00
2024-02-18,Net sales,2656.64
2024-02-18,Overpayments,0.00
2024-02-18,Taxes expected,247.26
2024-02-18,Taxes collected,247.26
2024-02-18,Tips,60.79
2024-02-18,Amount collected,2964.69
2024-02-18,Unpaid balance,0.00
2024-02-19,Gross sales,1695.80
2024-02-19,Refunds,0.00
2024-02-19,Net sales,1695.80
2024-02-19,Overpayments,0.00
2024-02-19,Taxes expected,154.86
2024-02-19,Taxes collected,154.86
2024-02-19,Tips,36.15
2024-02-19,Amount collected,1886.81
2024-02-19,Unpaid balance,0.00
2024-02-20,Gross sales,2038.21
2024-02-20,Refunds,0.00
2024-02-20,Net sales,2038.21
2024-02-20,Overpayments,0.00
2024-02-20,Taxes expected,189.17
2024-02-20,Taxes collected,188.11
2024-02-20,Tips,49.74
2024-02-20,Amount collected,2276.06
2024-02-20,Unpaid balance,0.00
2024-02-21,Gross sales,1970.11
2024-02-21,Refunds,0.00
2024-02-21,Net sales,1970.11
2024-02-21,Overpayments,0.00
2024-02-21,Taxes expected,178.96
2024-02-21,Taxes collected,178.96
2024-02-21,Tips,32.83
2024-02-21,Amount collected,2181.90
2024-02-21,Unpaid balance,0.00
2024-02-22,Gross sales,2431.88
2024-02-22,Refunds,0.00
2024-02-22,Net sales,2431.88
2024-02-22,Overpayments,0.00
2024-02-22,Taxes expected,221.08
2024-02-22,Taxes collected,221.08
2024-02-22,Tips,45.84
2024-02-22,Amount collected,2698.80
2024-02-22,Unpaid balance,0.00
2024-02-23,Gross sales,3146.80
2024-02-23,Refunds,0.00
2024-02-23,Net sales,3146.80
2024-02-23,Overpayments,0.00
2024-02-23,Taxes expected,287.10
2024-02-23,Taxes collected,287.10
2024-02-23,Tips,53.03
2024-02-23,Amount collected,3486.93
2024-02-23,Unpaid balance,0.00
2024-02-24,Gross sales,3072.37
2024-02-24,Refunds,0.00
2024-02-24,Net sales,3072.37
2024-02-24,Overpayments,0.00
2024-02-24,Taxes expected,284.13
2024-02-24,Taxes collected,284.13
2024-02-24,Tips,63.73
2024-02-24,Amount collected,3420.23
2024-02-24,Unpaid balance,0.00
2024-02-25,Gross sales,3028.65
2024-02-25,Refunds,0.00
2024-02-25,Net sales,3028.65
2024-02-25,Overpayments,0.00
2024-02-25,Taxes expected,280.59
2024-02-25,Taxes collected,280.59
2024-02-25,Tips,58.49
2024-02-25,Amount collected,3367.73
2024-02-25,Unpaid balance,0.00
2024-02-26,Gross sales,1622.36
2024-02-26,Refunds,0.00
2024-02-26,Net sales,1622.36
2024-02-26,Overpayments,0.00
2024-02-26,Taxes expected,149.25
2024-02-26,Taxes collected,149.25
2024-02-26,Tips,19.98
2024-02-26,Amount collected,1791.59
2024-02-26,Unpaid balance,0.00
2024-02-27,Gross sales,1747.00
2024-02-27,Refunds,0.00
2024-02-27,Net sales,1747.00
2024-02-27,Overpayments,0.00
2024-02-27,Taxes expected,161.52
2024-02-27,Taxes collected,161.52
2024-02-27,Tips,30.71
2024-02-27,Amount collected,1939.23
2024-02-27,Unpaid balance,0.00
2024-02-28,Gross sales,2397.60
2024-02-28,Refunds,0.00
2024-02-28,Net sales,2397.60
2024-02-28,Overpayments,0.00
2024-02-28,Taxes expected,220.94
2024-02-28,Taxes collected,220.94
2024-02-28,Tips,47.82
2024-02-28,Amount collected,2666.36
2024-02-28,Unpaid balance,0.00
2024-02-29,Gross sales,2241.37
2024-02-29,Refunds,0.00
2024-02-29,Net sales,2241.37
2024-02-29,Overpayments,0.00
2024-02-29,Taxes expected,206.08
2024-02-29,Taxes collected,206.08
2024-02-29,Tips,44.30
2024-02-29,Amount collected,2491.75
2024-02-29,Unpaid balance,0.00
2024-03-01,Gross sales,3185.06
2024-03-01,Refunds,0.00
2024-03-01,Net sales,3185.06
2024-03-01,Overpayments,0.00
2024-03-01,Taxes expected,293.24
2024-03-01,Taxes collected,293.24
2024-03-01,Tips,38.96
2024-03-01,Amount collected,3517.26
2024-03-01,Unpaid balance,0.00
2024-03-02,Gross sales,3008.57
2024-03-02,Refunds,0.00
2024-03-02,Net sales,3008.57
2024-03-02,Overpayments,0.00
2024-03-02,Taxes expected,275.74
2024-03-02,Taxes collected,275.35
2024-03-02,Tips,56.96
2024-03-02,Amount collected,3340.88
2024-03-02,Unpaid balance,0.00
2024-03-03,Gross sales,2609.05
2024-03-03,Refunds,0.00
2024-03-03,Net sales,2609.05
2024-03-03,Overpayments,0.00
2024-03-03,Taxes expected,236.54
2024-03-03,Taxes collected,236.54
2024-03-03,Tips,54.48
2024-03-03,Amount collected,2900.07
2024-03-03,Unpaid balance,0.00
2024-03-04,Gross sales,1720.99
2024-03-04,Refunds,0.00
2024-03-04,Net sales,1720.99
2024-03-04,Overpayments,0.00
2024-03-04,Taxes expected,159.53
2024-03-04,Taxes collected,158.68
2024-03-04,Tips,20.30
2024-03-04,Amount collected,1899.97
2024-03-04,Unpaid balance,0.00
2024-03-05,Gross sales,0.00
2024-03-05,Refunds,0.00
2024-03-05,Net sales,0.00
2024-03-05,Overpayments,0.00
2024-03-05,Taxes expected,0.00
2024-03-05,Taxes collected,0.00
2024-03-05,Tips,0.00
2024-03-05,Amount collected,0.00
2024-03-05,Unpaid balance,0.00
2024-03-06,Gross sales,2212.39
2024-03-06,Refunds,0.00
2024-03-06,Net sales,2212.39
2024-03-06,Overpayments,0.00
2024-03-06,Taxes expected,203.55
2024-03-06,Taxes collected,203.55
2024-03-06,Tips,21.56
2024-03-06,Amount collected,2437.50
2024-03-06,Unpaid balance,0.00
2024-03-07,Gross sales,2107.33
2024-03-07,Refunds,0.00
2024-03-07,Net sales,2107.33
2024-03-07,Overpayments,0.00
2024-03-07,Taxes expected,196.03
2024-03-07,Taxes collected,196.03
2024-03-07,Tips,55.11
2024-03-07,Amount collected,2358.47
2024-03-07,Unpaid balance,0.00
2024-03-08,Gross sales,2559.25
2024-03-08,Refunds,0.00
2024-03-08,Net sales,2559.25
2024-03-08,Overpayments,0.00
2024-03-08,Taxes expected,232.73
2024-03-08,Taxes collected,232.73
2024-03-08,Tips,46.26
2024-03-08,Amount collected,2838.24
2024-03-08,Unpaid balance,0.00
2024-03-09,Gross sales,3078.63
2024-03-09,Refunds,0.00
2024-03-09,Net sales,3078.63
2024-03-09,Overpayments,0.00
2024-03-09,Taxes expected,283.11
2024-03-09,Taxes collected,283.11
2024-03-09,Tips,45.23
2024-03-09,Amount collected,3406.97
2024-03-09,Unpaid balance,0.00
2024-03-10,Gross sales,2803.93
2024-03-10,Refunds,0.00
2024-03-10,Net sales,2803.93
2024-03-10,Overpayments,0.00
2024-03-10,Taxes expected,261.02
2024-03-10,Taxes collected,261.02
2024-03-10,Tips,54.31
2024-03-10,Amount collected,3119.26
2024-03-10,Unpaid balance,0.00
2024-03-11,Gross sales,1976.47
2024-03-11,Refunds,0.00
2024-03-11,Net sales,1976.47
2024-03-11,Overpayments,0.00
2024-03-11,Taxes expected,178.90
2024-03-11,Taxes collected,178.90
2024-03-11,Tips,37.39
2024-03-11,Amount collected,2192.76
2024-03-11,Unpaid balance,0.00
2024-03-12,Gross sales,1872.55
2024-03-12,Refunds,0.00
2024-03-12,Net sales,1872.55
2024-03-12,Overpayments,0.00
2024-03-12,Taxes expected,174.14
2024-03-12,Taxes collected,174.14
2024-03-12,Tips,19.08
2024-03-12,Amount collected,2065.77
2024-03-12,Unpaid balance,0.00
2024-03-13,Gross sales,2461.97
2024-03-13,Refunds,0.00
2024-03-13,Net sales,2461.97
2024-03-13,Overpayments,0.00
2024-03-13,Taxes expected,227.32
2024-03-13,Taxes collected,227.32
2024-03-13,Tips,23.78
2024-03-13,Amount collected,2713.07
2024-03-13,Unpaid balance,0.00
2024-03-14,Gross sales,2273.77
2024-03-14,Refunds,0.00
2024-03-14,Net sales,2273.77
2024-03-14,Overpayments,0.00
2024-03-14,Taxes expected,208.46
2024-03-14,Taxes collected,208.46
2024-03-14,Tips,27.73
2024-03-14,Amount collected,2509.96
2024-03-14,Unpaid balance,0.00
2024-03-15,Gross sales,2705.04
2024-03-15,Refunds,0.00
2024-03-15,Net sales,2705.04
2024-03-15,Overpayments,0.00
2024-03-15,Taxes expected,250.45
2024-03-15,Taxes collected,250.45
2024-03-15,Tips,53.05
2024-03-15,Amount collected,3008.54
2024-03-15,Unpaid balance,0.00
2024-03-16,Gross sales,3596.11
2024-03-16,Refunds,0.00
2024-03-16,Net sales,3596.11
2024-03-16,Overpayments,0.00
2024-03-16,Taxes expected,327.59
2024-03-16,Taxes collected,327.59
2024-03-16,Tips,76.23
2024-03-16,Amount collected,3999.93
2024-03-16,Unpaid balance,0.00
2024-03-17,Gross sales,2529.15
2024-03-17,Refunds,0.00
2024-03-17,Net sales,2529.15
2024-03-17,Overpayments,0.00
2024-03-17,Taxes expected,229.91
2024-03-17,Taxes collected,229.91
2024-03-17,Tips,31.17
2024-03-17,Amount collected,2790.23
2024-03-17,Unpaid balance,0.00
2024-03-18,Gross sales,1989.03
2024-03-18,Refunds,0.00
2024-03-18,Net sales,1989.03
2024-03-18,Overpayments,0.00
2024-03-18,Taxes expected,182.25
2024-03-18,Taxes collected,182.25
2024-03-18,Tips,49.08
2024-03-18,Amount collected,2220.36
2024-03-18,Unpaid balance,0.00
2024-03-19,Gross sales,1849.57
2024-03-19,Refunds,0.00
2024-03-19,Net sales,1849.57
2024-03-19,Overpayments,0.00
2024-03-19,Taxes expected,171.39
2024-03-19,Taxes collected,171.39
2024-03-19,Tips,40.37
2024-03-19,Amount collected,2061.33
2024-03-19,Unpaid balance,0.00
2024-03-20,Gross sales,2143.21
2024-03-20,Refunds,0.00
2024-03-20,Net sales,2143.21
2024-03-20,Overpayments,0.00
2024-03-20,Taxes expected,199.14
2024-03-20,Taxes collected,199.14
2024-03-20,Tips,37.33
2024-03-20,Amount collected,2379.68
2024-03-20,Unpaid balance,0.00
2024-03-21,Gross sales,2411.92
2024-03-21,Refunds,0.00
2024-03-21,Net sales,2411.92
2024-03-21,Overpayments,0.00
2024-03-21,Taxes expected,219.50
2024-03-21,Taxes collected,219.50
2024-03-21,Tips,56.47
2024-03-21,Amount collected,2687.89
2024-03-21,Unpaid balance,0.00
2024-03-22,Gross sales,3318.07
2024-03-22,Refunds,0.00
2024-03-22,Net sales,3318.07
2024-03-22,Overpayments,0.00
2024-03-22,Taxes expected,300.26
2024-03-22,Taxes collected,300.26
2024-03-22,Tips,83.04
2024-03-22,Amount collected,3701.37
2024-03-22,Unpaid balance,0.00
2024-03-23,Gross sales,3341.02
2024-03-23,Refunds,0.00
2024-03-23,Net sales,3341.02
2024-03-23,Overpayments,0.00
2024-03-23,Taxes expected,301.95
2024-03-23,Taxes collected,301.95
2024-03-23,Tips,85.87
2024-03-23,Amount collected,3720.81
2024-03-23,Unpaid balance,8.03
2024-03-24,Gross sales,2817.39
2024-03-24,Refunds,0.00
2024-03-24,Net sales,2817.39
2024-03-24,Overpayments,0.00
2024-03-24,Taxes expected,261.52
2024-03-24,Taxes collected,261.52
2024-03-24,Tips,66.57
2024-03-24,Amount collected,3145.48
2024-03-24,Unpaid balance,0.00
2024-03-25,Gross sales,1817.66
2024-03-25,Refunds,0.00
2024-03-25,Net sales,1817.66
2024-03-25,Overpayments,0.00
2024-03-25,Taxes expected,166.56
2024-03-25,Taxes collected,166.56
2024-03-25,Tips,24.44
2024-03-25,Amount collected,2008.66
2024-03-25,Unpaid balance,0.00
2024-03-26,Gross sales,1710.32
2024-03-26,Refunds,0.00
2024-03-26,Net sales,1710.32
2024-03-26,Overpayments,0.00
2024-03-26,Taxes expected,157.41
2024-03-26,Taxes collected,157.41
2024-03-26,Tips,38.58
2024-03-26,Amount collected,1893.02
2024-03-26,Unpaid balance,13.29
2024-03-27,Gross sales,2025.69
2024-03-27,Refunds,0.00
2024-03-27,Net sales,2025.69
2024-03-27,Overpayments,0.00
2024-03-27,Taxes expected,187.45
2024-03-27,Taxes collected,187.45
2024-03-27,Tips,48.39
2024-03-27,Amount collected,2261.53
2024-03-27,Unpaid balance,0.00
2024-03-28,Gross sales,2549.93
2024-03-28,Refunds,0.00
2024-03-28,Net sales,2549.93
2024-03-28,Overpayments,0.00
2024-03-28,Taxes expected,237.14
2024-03-28,Taxes collected,237.14
2024-03-28,Tips,56.45
2024-03-28,Amount collected,2843.52
2024-03-28,Unpaid balance,0.00
2024-03-29,Gross sales,2835.96
2024-03-29,Refunds,0.00
2024-03-29,Net sales,2835.96
2024-03-29,Overpayments,0.00
2024-03-29,Taxes expected,256.43
2024-03-29,Taxes collected,256.43
2024-03-29,Tips,53.43
2024-03-29,Amount collected,3145.82
2024-03-29,Unpaid balance,0.00
2024-03-30,Gross sales,3101.39
2024-03-30,Refunds,0.00
2024-03-30,Net sales,3101.39
2024-03-30,Overpayments,0.00
2024-03-30,Taxes expected,282.18
2024-03-30,Taxes collected,282.18
