Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option
64YPPAWLTNG7B,Monster Red,7,,$3.49,Fixed,7,$1.29,070847017554,DRK-117,-751,Yes,Yes,No,,,Drinks,7,,
5U9HY6Z54PRQM,Diet Coke Bottle,7,,$2.89,Fixed,7,$1.11,04904500,DRK-929,-408,No,Yes,No,,,Drinks,7,,
G2S8CCFD9WSMH,Dasani Water,7,,$1.99,Fixed,7,$0.95,04997704,DRK-707,-286,No,Yes,No,,,Drinks,7,,
UGSY6JGU37DPT,Diet Coke Can,7,,$1.29,Fixed,7,$0.51,04965802,7,-97,No,Yes,No,,,Drinks,7,,
YGZW56SE4BUUA,Sweet Tea,7,,$2.99,Fixed,7,$0.97,083900005542,7,-838,No,Yes,No,,,Drinks,7,,
SHKLJJV4RC7Z8,Unsweet Tea,7,,$2.79,Fixed,7,$0.83,083900005771,7,-544,No,Yes,No,,,Drinks,7,,
X5RMRRVM7J6EA,Zero Sugar Sweet Tea,7,,$2.79,Fixed,7,$0.82,083900005764,DRK-926,-171,No,Yes,No,,,Drinks,7,,
2X6RMB7JQCFP3,Chocolate Milk,7,,$2.29,Fixed,7,$1.01,072060001327,DRK-465,"-42,895",No,Yes,No,,,Drinks,7,,
5RC3YCWQ478ZE,Milk,7,,$2.09,Fixed,7,$0.68,072060000573,7,"-8,124",No,Yes,No,,,Drinks,7,,
Z9N4NP9MFUT93,Mtn Dew Bottle,7,,$2.09,Fixed,7,$0.85,012000182372,7,"-2,572",No,Yes,No,,,Drinks,7,,
HSLM8UN2LUHMR,Pepsi Bottle,7,,$2.09,Fixed,7,$0.61,"012000504051,012000182563",7,"-3,557",No,Yes,No,,,Drinks,7,,
99CMPZSY8MLUA,Dr. Pepper Bottle,7,,$2.09,Fixed,7,$0.68,078000003864,7,"-6,932",No,Yes,No,,,Drinks,7,,
53G5QTC2YEKXS,Diet Dr. Pepper Bottle,7,,$1.89,Fixed,7,$0.57,078000003888,DRK-589,"-1,403",No,Yes,No,,,Drinks,7,,
K5VNELA5URYUC,Ozarka Water,7,,$1.09,Fixed,7,$0.38,022592007014,DRK-669,"-3,395",No,Yes,No,,,Drinks,7,,
8NB6FPAVLP2WN,Diet Dr. Pepper Can,7,,$1.09,Fixed,7,$0.50,07832309,DRK-107,-169,No,Yes,No,,,Drinks,7,,
LNAY2295DHWHL,Caprisun,7,,$1.09,Fixed,7,$0.41,698367380751,DRK-822,"-1,304",No,Yes,No,,,Drinks,7,,
9G2FBE5KHKD75,Gatorade (White),7,,$2.59,Fixed,7,$0.75,052000102475,DRK-807,"-1,806",No,Yes,No,,,Drinks,7,,
HPV4CDJ9RTSN3,Red Bull 8.4oz,7,,$2.89,Fixed,7,$1.36,611269991000,DRK-276,"-1,267",No,Yes,No,,,Drinks,7,,
JS7DG84YDSBFR,Red Bull 12oz,7,,$4.09,Fixed,7,$1.67,611269818994,DRK-967,"-2,298",No,Yes,No,,,Drinks,7,,
TKY2CJXCHSUEC,Sprinkle & Cake,7,7,$0.00,Fixed,7,$0.00,7,7,"-1,673",No,Yes,No,,Sprinkle,Donuts,7,,
DQ8VE4X84MHXM,Maple long john,7,,$0.00,Fixed,7,$0.00,7,DON-600,"-32,024",No,Yes,No,,Long John Add Fill,Donuts,7,,
,,,,,,,,,,,,,,,Maple Long John,,,,
RTHQS6BMABHYG,Chocolate long john,7,,$0.00,Fixed,7,$0.00,7,DON-273,"-19,302",No,Yes,No,,Long John Add Fill,Donuts,7,,
,,,,,,,,,,,,,,,Chocolate With Glazed,,,,
,,,,,,,,,,,,,,,Chocolate Long John,,,,
QBCVNK2MEQTWL,Peanut Butter long john,7,,$0.00,Fixed,7,$0.00,7,7,"-5,981",No,Yes,No,,Peanut Butter Long John,Donuts,7,,
,,,,,,,,,,,,,,,Long John Add Fill,,,,
LL2JVWWWE285Z,Powder Long John,7,,$0.00,Fixed,7,$0.00,7,7,"-3,087",No,Yes,No,,Add White Cream,Donuts,7,,
,,,,,,,,,,,,,,,Powder Long John,,,,
UTSZW68MZZGSV,Pine Cone,7,,$0.00,Fixed,7,$0.00,7,7,"-5,051",No,Yes,No,,Pine Cone,Donuts,7,,
,,,,,,,,,,,,,,,Nuts Roll & Rossana,,,,
NK8WEGK6VMUEV,Chocolate Roll,7,,$0.00,Fixed,7,$0.00,7,7,"-6,961",No,Yes,No,,Add White Cream,Donuts,7,,
,,,,,,,,,,,,,,,Chocolate Roll,,,,
B4WYQPBQSZJM2,Assorted Mix,7,,$0.00,Fixed,7,$0.00,7,7,"-8,033",No,Yes,No,,Assorted Mix,Donuts,7,,
3ARLJU6GGCWZJ,assorted Mix Roll,7,,$0.00,Fixed,7,$0.00,7,7,"-3,931",No,Yes,No,,Assorted Mix Roll,Donuts,7,,
QG766VEUYFPZB,Sausage Egg & Cheese Croissant,7,,$0.00,Fixed,7,$0.00,7,SAN-660,"-8,199",No,Yes,No,,Croissants,Sandwiches & Kolaches,7,,
ABAVA3ZGMYBGA,Bacon Egg & Cheese Croissant,7,,$0.00,Fixed,7,$0.00,6187,SAN-982,"-6,074",No,Yes,No,,Croissants,Sandwiches & Kolaches,7,,
Q3V2XMLHLDX6L,Ham Egg & Cheese Croissant,7,,$0.00,Fixed,7,$0.00,7,7,"-2,925",No,Yes,No,,Croissants,Sandwiches & Kolaches,7,,
JTG6RY9PZ5JRR,Sausage Egg & Cheese Biscuit,7,,$0.00,Fixed,7,$0.00,7,SAN-395,"-3,779",No,Yes,No,,Biscuits,Sandwiches & Kolaches,7,,
NKQEPY3CV7HUB,Bacon Egg &Cheese Biscuit,7,,$0.00,Fixed,7,$0.00,7,SAN-232,"-3,260",No,Yes,No,,Biscuits,Sandwiches & Kolaches,7,,
DYSJ4ZQKGDL9J,Ham Egg &Cheese Biscuit,7,,$0.00,Fixed,7,$0.00,7,SAN-949,-817,No,Yes,No,,Biscuits,Sandwiches & Kolaches,7,,
V3R5TSED3DTUP,Cajun Pie,7,,$0.00,Fixed,7,$0.00,7,7,"-17,135",No,Yes,No,,Cajun Pie,Sandwiches & Kolaches,7,,
,,,,,,,,,,,,,,,Cajun Pie Jalapeno,,,,
NBYPJGN8DNFHS,Coffee,7,,$0.00,Fixed,7,$0.00,7,SKU-697,11,No,Yes,No,,,,7,,
3TVPJ6GYTRGFV,Cappuccino,7,,$0.00,Fixed,7,$0.00,7,SKU-177,-2,No,Yes,No,,,,7,,
U72GD6GMVNEVS,Strawberry Milk,7,,$2.29,Fixed,7,$1.02,072060000030,7,"-3,790",No,Yes,No,,,Drinks,7,,
9BS7ZL4HK3K46,Hiland Orange Juice,7,,$2.29,Fixed,7,$0.86,072060005820,DRK-171,"-2,612",No,Yes,No,,,Drinks,7,,
GZQNSSUN6YMK4,Starbuck Frappuccino Vanilla,7,,$3.09,Fixed,7,$1.13,01241000,DRK-956,"-2,811",No,Yes,No,,,Drinks,7,,
3RY6AGH9FMNYX,Sprinkle & Blueberry Mix,7,,$0.00,Fixed,7,$0.00,7,DON-787,-276,Yes,Yes,No,,Sprinkle & blueberry Mix,Donuts,7,,
Y5XUN8JZVXU3S,Gift card,,,$6.89,Variable,7,$2.24,CLOVER_GIFT_CARD,,-12,No,No,Yes,,,,,,
3WVTXSXHDELMB,Heart Shape,7,,$0.00,Fixed,7,$0.00,7,DON-935,-353,No,Yes,No,,Peanut Butter Long John,Donuts,7,,
,,,,,,,,,,,,,,,Long John Add Fill,,,,
JYHBKD9RKWVS8,Season/custom Donuts,7,,$0.00,Fixed,7,$0.00,7,DON-247,-137,No,Yes,No,,Season/custom Donuts,Donuts,7,,
SG39Z4VSNW8NJ,Pepsi,7,,$0.00,Fixed,7,$0.00,7,7,"-4,475",No,Yes,No,,Fountain,Fountain,7,,
TF7NCGS79NTTM,Pepsi Zero,7,,$0.00,Fixed,7,$0.00,7,SKU-399,-886,No,Yes,No,,Fountain,Fountain,7,,
LHJYJ5UBXR7RA,Mtn Dew,7,,$0.00,Fixed,7,$0.00,2781,7,-696,No,Yes,No,,Fountain,Fountain,7,,
5QF8BZMEGUZYD,Dr Pepper,7,,$0.00,Fixed,7,$0.00,5529,7,"-3,595",No,Yes,No,,Fountain,Fountain,7,,
YUAH486CNN74J,Starry,7,,$0.00,Fixed,7,$0.00,7,7,-197,No,Yes,No,,Fountain,Fountain,7,,
NPFB4N7745EHN,Lemonde,7,,$0.00,Fixed,7,$0.00,7,7,-51,No,Yes,No,,Fountain,Fountain,7,,
Z2SAMX3EWGYD5,Cake Donuts Holes,7,,$2.69,Fixed,7,$0.90,7,7,-267,No,Yes,No,,,Donuts,7,,
NRJRUX25J7V6P,Monster,7,,$3.29,Fixed,7,$1.09,269877134568,DRK-678,"-4,630",No,Yes,No,,,Drinks,7,,
8FFAQMP257446,Java Monster,7,,$4.29,Fixed,7,$1.37,229824076958,7,-577,No,Yes,No,,,Drinks,7,,
PCP3Q3GZ7P5GR,Fuel,7,,$3.09,Fixed,7,$1.36,7,7,-48,No,Yes,No,,,Donuts,7,,
D9NTVBMHXVQMW,Nesquik,7,,$1.59,Fixed,7,$0.76,032220105741,DRK-874,-714,No,Yes,No,,,Drinks,7,,
BD2TFRG4ULLGG,Football Donuts,7,,$0.00,Fixed,7,$0.00,7,DON-436,-14,No,Yes,No,,Peanut Butter Long John,Donuts,7,,
739WEK7RDY27X,Starbucks Frap Mocha,7,,$3.29,Fixed,7,$1.49,003043368783,DRK-529,-335,No,Yes,No,,,Drinks,7,,
76NPQW2KSVAGF,Yoohoo,7,,$1.09,Fixed,7,$0.37,398617548766,7,-240,No,Yes,No,,,Drinks,7,,
A5KVR9XKWVGPB,Apple & Eve,7,7,$1.29,Fixed,7,$0.60,617875362259,DRK-835,-45,No,Yes,No,,,Drinks,7,,
YQ9VDD2T3VRGL,Welch,7,7,$1.49,Fixed,7,$0.70,071738898251,7,-46,No,Yes,No,,,Drinks,7,,
